,Id,Date,Hour,Steps,Intensity,AVG Intensity,Calories,Sleep Sessions,Minutes Asleep,Time in Bed
0,1503960366,4/12/2016,0:00,373,20,0.333333,81,1.0,327.0,346.0
1,1503960366,4/12/2016,1:00,160,8,0.133333,61,,,
2,1503960366,4/12/2016,2:00,151,7,0.116667,59,,,
3,1503960366,4/12/2016,3:00,0,0,0.0,47,,,
4,1503960366,4/12/2016,4:00,0,0,0.0,48,,,
5,1503960366,4/12/2016,5:00,0,0,0.0,48,,,
6,1503960366,4/12/2016,6:00,0,0,0.0,48,,,
7,1503960366,4/12/2016,7:00,0,0,0.0,47,,,
8,1503960366,4/12/2016,8:00,250,13,0.216667,68,,,
9,1503960366,4/12/2016,9:00,1864,30,0.5,141,,,
10,1503960366,4/12/2016,10:00,676,29,0.483333,99,,,
11,1503960366,4/12/2016,11:00,360,12,0.2,76,,,
12,1503960366,4/12/2016,12:00,253,11,0.183333,73,,,
13,1503960366,4/12/2016,13:00,221,6,0.1,66,,,
14,1503960366,4/12/2016,14:00,1166,36,0.6,110,,,
15,1503960366,4/12/2016,15:00,2063,58,0.966667,151,,,
16,1503960366,4/12/2016,16:00,344,13,0.216667,76,,,
17,1503960366,4/12/2016,17:00,489,16,0.266667,83,,,
18,1503960366,4/12/2016,18:00,1386,29,0.483333,124,,,
19,1503960366,4/12/2016,19:00,558,39,0.65,104,,,
20,1503960366,4/12/2016,20:00,1733,41,0.683333,132,,,
21,1503960366,4/12/2016,21:00,684,31,0.516667,100,,,
22,1503960366,4/12/2016,22:00,89,9,0.15,65,,,
23,1503960366,4/12/2016,23:00,338,21,0.35,81,,,
24,1503960366,4/13/2016,0:00,144,14,0.233333,69,2.0,384.0,407.0
25,1503960366,4/13/2016,1:00,0,0,0.0,48,,,
26,1503960366,4/13/2016,2:00,0,0,0.0,47,,,
27,1503960366,4/13/2016,3:00,36,4,0.066667,53,,,
28,1503960366,4/13/2016,4:00,0,0,0.0,47,,,
29,1503960366,4/13/2016,5:00,0,0,0.0,47,,,
30,1503960366,4/13/2016,6:00,0,0,0.0,48,,,
31,1503960366,4/13/2016,7:00,126,8,0.133333,59,,,
32,1503960366,4/13/2016,8:00,275,12,0.2,69,,,
33,1503960366,4/13/2016,9:00,1679,27,0.45,136,,,
34,1503960366,4/13/2016,10:00,295,15,0.25,77,,,
35,1503960366,4/13/2016,11:00,524,16,0.266667,84,,,
36,1503960366,4/13/2016,12:00,486,15,0.25,82,,,
37,1503960366,4/13/2016,13:00,302,10,0.166667,72,,,
38,1503960366,4/13/2016,14:00,1577,46,0.766667,128,,,
39,1503960366,4/13/2016,15:00,493,13,0.216667,79,,,
40,1503960366,4/13/2016,16:00,299,10,0.166667,71,,,
41,1503960366,4/13/2016,17:00,695,23,0.383333,87,,,
42,1503960366,4/13/2016,18:00,1343,25,0.416667,118,,,
43,1503960366,4/13/2016,19:00,258,13,0.216667,73,,,
44,1503960366,4/13/2016,20:00,0,0,0.0,47,,,
45,1503960366,4/13/2016,21:00,0,0,0.0,48,,,
46,1503960366,4/13/2016,22:00,437,11,0.183333,74,,,
47,1503960366,4/13/2016,23:00,1766,56,0.933333,135,,,
48,1503960366,4/14/2016,0:00,81,4,0.066667,56,,,
49,1503960366,4/14/2016,1:00,58,3,0.05,54,,,
50,1503960366,4/14/2016,2:00,0,0,0.0,47,,,
51,1503960366,4/14/2016,3:00,0,0,0.0,47,,,
52,1503960366,4/14/2016,4:00,0,0,0.0,47,,,
53,1503960366,4/14/2016,5:00,0,0,0.0,47,,,
54,1503960366,4/14/2016,6:00,0,0,0.0,47,,,
55,1503960366,4/14/2016,7:00,0,0,0.0,47,,,
56,1503960366,4/14/2016,8:00,0,0,0.0,47,,,
57,1503960366,4/14/2016,9:00,902,14,0.233333,93,,,
58,1503960366,4/14/2016,10:00,1106,23,0.383333,109,,,
59,1503960366,4/14/2016,11:00,50,7,0.116667,64,,,
60,1503960366,4/14/2016,12:00,501,18,0.3,85,,,
61,1503960366,4/14/2016,13:00,1779,54,0.9,137,,,
62,1503960366,4/14/2016,14:00,1228,22,0.366667,113,,,
63,1503960366,4/14/2016,15:00,139,7,0.116667,66,,,
64,1503960366,4/14/2016,16:00,408,25,0.416667,88,,,
65,1503960366,4/14/2016,17:00,37,5,0.083333,61,,,
66,1503960366,4/14/2016,18:00,322,12,0.2,72,,,
67,1503960366,4/14/2016,19:00,11,1,0.016667,55,,,
68,1503960366,4/14/2016,20:00,806,24,0.4,91,,,
69,1503960366,4/14/2016,21:00,2670,57,0.95,174,,,
70,1503960366,4/14/2016,22:00,362,17,0.283333,79,,,
71,1503960366,4/14/2016,23:00,0,0,0.0,50,,,
72,1503960366,4/15/2016,0:00,83,6,0.1,60,1.0,412.0,442.0
73,1503960366,4/15/2016,1:00,75,5,0.083333,58,,,
74,1503960366,4/15/2016,2:00,124,7,0.116667,59,,,
75,1503960366,4/15/2016,3:00,0,0,0.0,47,,,
76,1503960366,4/15/2016,4:00,0,0,0.0,47,,,
77,1503960366,4/15/2016,5:00,26,1,0.016667,49,,,
78,1503960366,4/15/2016,6:00,0,0,0.0,47,,,
79,1503960366,4/15/2016,7:00,7,1,0.016667,49,,,
80,1503960366,4/15/2016,8:00,55,5,0.083333,54,,,
81,1503960366,4/15/2016,9:00,21,2,0.033333,50,,,
82,1503960366,4/15/2016,10:00,154,8,0.133333,63,,,
83,1503960366,4/15/2016,11:00,425,23,0.383333,84,,,
84,1503960366,4/15/2016,12:00,270,13,0.216667,74,,,
85,1503960366,4/15/2016,13:00,373,9,0.15,67,,,
86,1503960366,4/15/2016,14:00,0,0,0.0,47,,,
87,1503960366,4/15/2016,15:00,0,0,0.0,47,,,
88,1503960366,4/15/2016,16:00,0,0,0.0,47,,,
89,1503960366,4/15/2016,17:00,1774,47,0.783333,140,,,
90,1503960366,4/15/2016,18:00,509,22,0.366667,87,,,
91,1503960366,4/15/2016,19:00,519,32,0.533333,97,,,
92,1503960366,4/15/2016,20:00,77,8,0.133333,64,,,
93,1503960366,4/15/2016,21:00,280,14,0.233333,75,,,
94,1503960366,4/15/2016,22:00,2145,66,1.1,151,,,
95,1503960366,4/15/2016,23:00,2768,95,1.583333,182,,,
96,1503960366,4/16/2016,0:00,459,15,0.25,77,2.0,340.0,367.0
97,1503960366,4/16/2016,1:00,0,0,0.0,48,,,
98,1503960366,4/16/2016,2:00,63,3,0.05,52,,,
99,1503960366,4/16/2016,3:00,6,1,0.016667,48,,,
100,1503960366,4/16/2016,4:00,6,1,0.016667,49,,,
101,1503960366,4/16/2016,5:00,12,1,0.016667,49,,,
102,1503960366,4/16/2016,6:00,0,0,0.0,48,,,
103,1503960366,4/16/2016,7:00,101,4,0.066667,54,,,
104,1503960366,4/16/2016,8:00,175,9,0.15,62,,,
